dataset,attack,poison_rate,defense,clean_acc,clean_acc_std,asr,det_precision,det_recall,det_f1,fit_time_sec
spambase,label_flip,0.05,hybrid,0.9167571480275063,0.0053560074509405526,0.0832428519724937,0.08127690091398669,0.7632850241545893,0.1460847733700745,0.9963397979736328
spambase,label_flip,0.05,none,0.9095186391603329,0.014336085646281844,0.09048136083966707,0.0,0.0,0.0,0.01043375333150228
spambase,label_flip,0.05,roni,0.8990228013029316,0.012332048525082032,0.10097719869706845,0.04697839590554052,0.48067632850241554,0.0854998943140985,0.7543133894602457
spambase,label_flip,0.05,trimmed_loss,0.9283387622149837,0.009771986970684043,0.07166123778501632,0.6367816091954023,0.6690821256038647,0.6525323910482922,0.06304669380187988
spambase,label_flip,0.1,anomaly_iforest,0.9077090119435396,0.015316760021352759,0.09229098805646041,0.27033954920413616,0.2971014492753623,0.28308873245038385,0.2396078904469808
spambase,label_flip,0.1,anomaly_lof,0.9189287006876583,0.011609855180850849,0.0810712993123417,0.2587719298245614,0.28502415458937197,0.271264367816092,0.05996267000834147
spambase,label_flip,0.1,hybrid,0.916033297140789,0.005979989736466997,0.08396670285921104,0.13911675023511996,0.753623188405797,0.23444616405471633,1.014534552892049
spambase,label_flip,0.1,none,0.9001085776330076,0.013862264207170153,0.09989142236699244,0.0,0.0,0.0,0.00987386703491211
spambase,label_flip,0.1,roni,0.8968512486427795,0.012801114139578285,0.10314875135722046,0.10417168056737976,0.47826086956521735,0.17023151384419913,0.9719152450561523
spambase,label_flip,0.1,trimmed_loss,0.925805284111473,0.009234419704794121,0.074194715888527,0.7203947368421053,0.7934782608695653,0.7551724137931034,0.07246208190917969
spambase,label_flip,0.2,anomaly_iforest,0.9098805646036916,0.00819743152580972,0.0901194353963084,0.3138766235442973,0.3768115942028985,0.3424767741687627,0.23952738444010416
spambase,label_flip,0.2,anomaly_lof,0.9109663409337676,0.004343105320304019,0.0890336590662324,0.3323278029160382,0.3991545893719806,0.3626886145404664,0.06907065709431966
spambase,label_flip,0.2,hybrid,0.9134998190372783,0.005571771378335381,0.08650018096272172,0.22882789775418166,0.7989130434782609,0.35542720349387363,0.9914901256561279
spambase,label_flip,0.2,none,0.8939558450959102,0.006634202960486199,0.1060441549040898,0.0,0.0,0.0,0.00869599978129069
spambase,label_flip,0.2,roni,0.8852696344553022,0.006895605820940159,0.11473036554469784,0.16756960961061576,0.4728260869565217,0.24698014709038177,0.9442288875579834
spambase,label_flip,0.2,trimmed_loss,0.917119073470865,0.007229455068924426,0.08288092652913503,0.7376636455186304,0.8846618357487923,0.8045030203185064,0.052660465240478516
spambase,targeted_flip,0.05,anomaly_iforest,0.9178429243575823,0.005979989736466997,0.08064516129032258,0.0,0.0,0.0,0.25382542610168457
spambase,targeted_flip,0.05,anomaly_lof,0.9250814332247557,0.01035764605230126,0.06571087216248506,0.21278538812785386,0.2246376811594203,0.2185504072728479,0.056228240331014
spambase,targeted_flip,0.05,hybrid,0.912775968150561,0.012009163968901242,0.08482676224611709,0.04724461582390449,0.533816425120773,0.0867898371248455,0.9024252891540527
spambase,targeted_flip,0.05,none,0.925805284111473,0.009852086564470652,0.06929510155316608,0.0,0.0,0.0,0.012993733088175455
