defense,clean_acc,fit_time_sec,keep_fraction,det_precision,det_recall,det_f1,det_roc_auc,asr,dataset,attack,poison_rate,acc_clean_no_attack,seed
anomaly_iforest,0.9473684210526315,0.19629859924316406,0.7970660146699267,0.40963855421686746,0.5,0.4503311258278146,0.6781524926686217,0.13953488372093023,breast_cancer,targeted_flip,0.2,0.9824561403508771,2024
anomaly_lof,0.8859649122807017,0.006861448287963867,0.7970660146699267,0.0963855421686747,0.11764705882352941,0.10596026490066225,0.4488528549249612,0.3023255813953488,breast_cancer,targeted_flip,0.2,0.9824561403508771,2024
roni,0.8771929824561403,0.0711367130279541,0.6210268948655256,0.15483870967741936,0.35294117647058826,0.21524663677130046,0.484388476798344,0.32558139534883723,breast_cancer,targeted_flip,0.2,0.9824561403508771,2024
trimmed_loss,0.8859649122807017,0.01618814468383789,0.7995110024449877,0.4878048780487805,0.5882352941176471,0.5333333333333333,0.7325340693462137,0.3023255813953488,breast_cancer,targeted_flip,0.2,0.9824561403508771,2024
hybrid,0.9122807017543859,0.240706205368042,0.3545232273838631,0.20833333333333334,0.8088235294117647,0.3313253012048193,0.5979601518026565,0.23255813953488372,breast_cancer,targeted_flip,0.2,0.9824561403508771,2024
none,0.9385964912280702,0.0026350021362304688,1.0,0.0,0.0,0.0,0.5,0.16279069767441862,breast_cancer,feature_collision,0.05,0.9912280701754386,42
anomaly_iforest,0.9473684210526315,0.19051074981689453,0.946927374301676,0.05263157894736842,0.058823529411764705,0.05555555555555555,0.5030188028290495,0.13953488372093023,breast_cancer,feature_collision,0.05,0.9912280701754386,42
anomaly_lof,0.9473684210526315,0.005606174468994141,0.946927374301676,0.0,0.0,0.0,0.47214076246334313,0.13953488372093023,breast_cancer,feature_collision,0.05,0.9912280701754386,42
roni,0.9473684210526315,0.05068349838256836,0.6983240223463687,0.07407407407407407,0.47058823529411764,0.128,0.5886665516646542,0.11627906976744186,breast_cancer,feature_collision,0.05,0.9912280701754386,42
trimmed_loss,0.9473684210526315,0.014771223068237305,0.9497206703910615,0.5555555555555556,0.5882352941176471,0.5714285714285714,0.7823874417802313,0.13953488372093023,breast_cancer,feature_collision,0.05,0.9912280701754386,42
hybrid,0.9210526315789473,0.2420787811279297,0.7681564245810056,0.07228915662650602,0.35294117647058826,0.12,0.5635673624288424,0.18604651162790697,breast_cancer,feature_collision,0.05,0.9912280701754386,42
none,0.9473684210526315,0.002179861068725586,1.0,0.0,0.0,0.0,0.5,0.13953488372093023,breast_cancer,feature_collision,0.05,0.9649122807017544,123
